SRR5755588	SRR5755589	SRR5755590	SRR5755591	SRR5755592	SRR5755593
Olfr1497	0	0	0	0	0	0
Olfr1499	0	0	0	0	0	0
Olfr15	0	0	0	0	0	0
Olfr150	0	0	0	0	0	0
Olfr1500	1	0	1	0	0	0
Olfr1501	0	0	0	0	0	0
Olfr1502	0	0	0	0	0	0
Olfr1503-ps1	0	0	0	0	0	0
Olfr1504	0	0	0	0	0	0
Olfr1505	0	0	0	0	0	0
Olfr1506	0	0	0	0	0	0
Olfr1507	0	0	2	0	0	1
Olfr1508	3	3	1	0	0	0
Olfr1509	0	1	0	0	0	1
Olfr151	0	0	0	0	0	0
Olfr1510	3	1	1	0	0	0
Olfr1511	2	11	2	0	1	0
Olfr1512	0	0	0	2	0	0
Olfr1513	0	0	0	0	0	0
Olfr1516-ps	0	0	0	0	0	0
Olfr152	0	0	0	0	0	0
Olfr153	0	0	0	0	0	0
Olfr1532-ps1	0	0	0	0	0	0
Olfr1535	0	1	0	0	1	0
Olfr1537-ps1	0	0	0	0	0	0
Olfr154	0	0	0	0	0	0
Olfr155	0	0	0	0	0	0
Olfr156	0	0	0	0	0	0
Olfr157	0	0	0	0	0	0
Olfr159	0	0	0	0	0	0
Olfr16	0	0	0	0	0	0
Olfr161	0	0	0	0	0	0
Olfr164	0	0	0	0	0	0
Olfr165	0	0	0	0	0	0
Olfr166	0	0	0	0	0	0
Olfr167	0	0	0	0	0	0
Olfr168	0	0	0	0	0	0
Olfr169	0	0	0	0	0	0
Olfr17	0	0	0	0	0	0
Olfr170	0	0	0	0	0	0
Olfr171	0	0	0	0	0	0
Olfr172	0	0	0	0	0	0
Olfr173	0	0	0	0	0	0
Olfr175-ps1	0	0	0	0	0	0
Olfr177	0	0	0	0	0	0
Olfr178	0	0	0	0	0	0
Olfr179	0	0	0	0	0	0
Olfr18	2	2	0	0	0	0
Olfr180	0	0	0	0	0	0
Olfr181	0	0	0	0	0	0
Olfr183	0	0	0	0	0	0
Olfr186	0	0	0	0	0	0
Olfr187	0	0	0	0	0	0
Olfr19	0	0	0	0	0	0
Olfr190	0	0	0	0	0	0
Olfr191	0	0	0	0	0	0
Olfr192	0	0	0	0	0	0
Olfr193	0	0	0	0	0	0
Olfr194	0	0	0	0	0	0
Olfr195	0	0	0	0	0	0
Olfr196	0	0	0	0	0	0
Olfr197	0	0	0	0	0	0
Olfr198	0	0	0	0	0	0
Olfr199	0	0	0	0	0	0
Olfr2	0	0	0	0	0	0
Olfr20	0	0	0	0	0	0
Olfr201	0	0	0	0	0	0
Olfr202	0	0	0	0	0	0
Olfr203	0	0	0	0	0	0
Olfr204	0	0	0	0	0	0
Olfr205	0	0	0	0	0	0
Olfr206	0	0	0	0	0	0
Olfr209	0	0	0	0	0	0
Olfr211	0	0	0	0	0	0
Olfr212	0	3	0	1	0	1
Olfr213	0	0	0	0	0	0
Olfr214	0	0	0	0	0	0
Olfr215	0	0	0	0	0	0
Olfr218	0	0	0	0	0	0
Olfr22-ps1	0	0	0	0	0	0
Olfr220	0	0	0	0	0	0
Olfr221	0	0	1	0	0	0
Olfr222	0	0	0	0	0	0
Olfr223	0	0	0	0	0	0
Olfr224	0	0	0	0	0	0
Olfr225	0	0	0	0	0	0
Olfr228	0	0	0	0	0	0
Olfr229	0	0	0	0	0	0
Olfr23	0	0	0	0	0	0
Olfr231	0	0	0	0	0	0
Olfr235	0	0	0	0	0	0
Olfr237-ps1	0	0	0	0	0	0
Olfr239	0	0	0	0	0	0
Olfr24	0	0	0	0	0	0
Olfr243	0	0	0	0	0	0
Olfr247	0	0	0	0	0	0
Olfr248	0	0	0	0	0	0
Olfr25	0	0	0	0	0	0
Olfr250	0	0	0	0	0	0
Olfr251	0	0	0	0	0	0
Olfr259	0	0	0	0	0	0
Olfr26	0	0	0	0	0	0
Olfr260-ps1	0	0	0	0	0	0
Olfr262	0	0	0	0	0	0
Olfr263	0	0	0	0	0	0
Olfr266	0	0	0	0	0	0
Olfr267	0	0	0	0	1	0
Olfr268-ps1	0	0	0	0	0	0
Olfr269-ps1	0	0	0	0	0	0
Olfr27	0	0	0	0	0	0
Olfr270	0	0	0	0	0	0
Olfr271-ps1	0	0	0	0	0	0
Olfr272	0	0	0	0	0	0
Olfr273	0	0	0	0	0	0
Olfr275	0	0	0	0	0	0
Olfr279	0	0	1	0	0	0
Olfr281	0	0	1	0	0	0
Olfr282	0	0	0	0	0	0
Olfr283	0	0	0	0	0	0
Olfr284	0	0	0	0	0	0
Olfr285	0	0	0	0	0	0
Olfr286	0	0	0	0	1	0
Olfr287	127	111	74	98	104	94
Olfr288	4	6	0	1	1	7
Olfr29-ps1	0	0	0	0	0	0
Olfr290	0	0	0	0	0	0
Olfr291	0	0	0	0	0	0
Olfr292	0	0	0	0	1	1
Olfr293	0	0	0	0	0	0
Olfr294	0	0	0	0	0	0
Olfr295	0	0	0	0	0	0
Olfr296-ps1	0	0	0	0	0	0
Olfr297	0	0	0	0	0	0
Olfr298	0	0	0	0	0	0
Olfr299	0	0	0	0	0	0
Olfr3	0	0	0	0	0	0
Olfr30	0	0	0	0	0	0
Olfr300-ps1	0	0	0	0	0	0
Olfr301	0	0	0	0	0	0
Olfr303	0	0	0	0	0	0
Olfr304	0	0	0	0	0	0
Olfr305	0	0	0	0	0	0
Olfr306-ps1	0	0	0	0	0	0
Olfr307	0	0	0	0	0	0
Olfr308	0	0	0	0	0	0
Olfr309	0	0	0	0	0	0
Olfr31	10	11	3	1	1	4
Olfr310	0	0	0	0	0	0
Olfr311	0	0	0	0	0	0
Olfr312	0	0	0	0	0	0
Olfr313	0	0	0	0	0	0
Olfr314	0	0	0	0	0	0
Olfr315	0	0	0	0	0	0
Olfr316	0	0	0	0	0	0
Olfr317	0	0	0	0	0	0
Olfr318	0	0	0	0	0	0
Olfr319	0	0	0	0	0	0
Olfr32	0	0	0	0	0	0
Olfr320	0	0	0	0	0	0
Olfr323	0	0	0	0	0	0
Olfr324	0	0	0	0	0	0
Olfr325	0	0	0	0	0	0
Olfr328	0	0	0	0	0	0
Olfr329-ps	0	0	0	0	0	0
Olfr33	0	0	0	0	0	0
Olfr330	0	0	0	0	0	0
Olfr331	0	0	0	0	0	0
Olfr332	0	0	0	0	0	0
Olfr333-ps1	0	0	0	0	0	0
Olfr334-ps1	0	0	0	0	0	0
Olfr335-ps	0	0	0	0	0	0
Olfr336-ps1	0	0	0	0	0	0
Olfr337-ps1	0	0	0	0	0	0
Olfr338	0	0	0	0	0	0
Olfr339	0	0	0	0	0	0
Olfr340	0	0	0	0	0	0
Olfr341	0	0	0	0	0	0
Olfr342	0	0	0	0	0	0
Olfr343-ps1	0	0	0	0	0	0
Olfr344	0	0	0	0	0	0
Olfr345	0	0	0	0	0	0
Olfr346	0	0	0	0	0	0
Olfr347	0	0	0	0	0	0
Olfr348	0	0	0	0	0	0
Olfr349-ps1	0	0	0	0	0	0
Olfr350	0	0	0	0	0	0
Olfr351	0	0	0	0	0	0
Olfr352	0	0	0	0	0	0
Olfr353	0	0	0	0	0	0
Olfr354	0	0	0	0	0	0
Olfr355	0	0	0	0	0	0
Olfr356	0	0	0	0	0	0
Olfr357	0	0	0	0	0	0
Olfr358	0	0	0	0	0	0
Olfr359-ps1	0	0	0	0	0	0
Olfr360	0	0	0	0	0	0
Olfr361	0	0	0	0	0	0
Olfr362	0	0	0	0	0	0
Olfr363-ps	0	0	0	0	0	0
Olfr364-ps1	0	0	0	0	0	0
Olfr365	0	0	0	0	0	0
Olfr366	0	0	0	0	0	0
Olfr367-ps	0	0	0	0	0	0
Olfr368	0	0	0	0	0	0
Olfr370	0	0	0	0	0	0
Olfr371	0	0	0	0	0	0
Olfr372	0	0	0	0	0	0
Olfr373	0	0	0	0	0	0
Olfr374	0	0	0	0	0	0
Olfr376	0	0	0	0	0	0
Olfr377-ps1	0	0	0	0	0	0
Olfr378	0	0	0	0	0	0
Olfr379-ps1	0	0	0	0	0	0
Olfr38	0	0	0	0	0	0
Olfr380	0	0	0	0	0	0
Olfr381	0	0	0	0	0	0
Olfr382	0	0	0	0	0	0
Olfr383-ps1	0	0	0	0	0	0
Olfr384	0	0	0	0	0	0
Olfr385	0	0	0	0	0	0
Olfr387-ps1	0	0	0	0	0	0
Olfr388-ps1	0	0	0	0	0	0
Olfr389	0	0	0	0	0	0
Olfr39	0	0	0	0	0	0
Olfr390	0	0	0	0	0	0
Olfr391-ps	0	0	0	0	0	0
Olfr392	0	0	0	0	0	0
Olfr393	0	0	0	0	0	0
Olfr394	0	0	0	0	0	0
Olfr395	0	0	0	0	0	0
Olfr396-ps1	0	0	0	0	0	0
Olfr397	0	0	0	0	0	0
Olfr398	0	0	0	0	0	0
Olfr399	0	0	0	0	0	0
Olfr400-ps1	0	0	0	0	0	0
Olfr401	0	0	0	0	0	0
Olfr402	0	0	0	0	0	0
Olfr403	0	0	0	0	0	0
Olfr404-ps1	0	0	0	0	0	0
Olfr405-ps1	0	0	0	0	0	0
Olfr406-ps	0	0	0	0	0	0
Olfr407-ps1	0	0	0	0	0	0
Olfr408-ps1	0	0	0	0	0	0
Olfr409-ps1	0	0	0	0	0	0
Olfr410	0	0	0	0	0	0
Olfr411	0	0	0	0	0	0
Olfr412	0	0	0	0	0	0
Olfr414	0	0	0	0	0	0
Olfr417	0	0	0	0	0	0
Olfr418-ps1	0	0	0	0	0	0
Olfr419	0	0	0	0	0	0
Olfr420	0	0	0	0	0	0
Olfr421	0	0	0	0	0	0
Olfr424	0	0	0	0	0	0
Olfr427	0	0	0	0	0	0
Olfr429	0	0	0	0	0	0
Olfr43	0	0	0	0	0	0
Olfr430	0	0	0	0	0	0
Olfr432	0	0	0	0	0	0
Olfr433	0	0	0	0	0	0
Olfr434	0	0	0	0	0	0
Olfr435	0	0	0	0	0	0
Olfr437	0	0	0	0	0	0
Olfr44	0	0	0	0	0	0
Olfr441	0	0	0	0	0	0
Olfr443-ps1	0	0	0	0	0	0
Olfr444	0	0	0	0	0	0
Olfr446	0	0	0	0	0	0
Olfr447	0	0	0	0	0	0
Olfr448	0	0	0	0	0	0
Olfr449	0	0	0	0	0	0
Olfr45	0	0	0	0	0	0
Olfr450	0	0	0	0	0	0
Olfr452	0	0	0	0	0	0
Olfr453	0	0	0	0	0	0
Olfr455	0	0	1	0	1	0
Olfr456	2	0	2	0	1	3
Olfr457	0	0	0	0	0	0
Olfr458	0	1	0	0	0	0
Olfr459	0	0	0	0	0	0
Olfr46	0	0	0	0	0	0
Olfr460	1	1	0	0	1	0
Olfr461	14	5	8	5	6	2
Olfr462	0	0	0	0	0	0
Olfr463	0	0	0	0	0	0
Olfr464	0	0	0	3	0	0
Olfr466	0	0	0	0	0	0
Olfr467	0	0	0	0	0	0
Olfr469	0	0	0	0	0	0
Olfr47	0	0	0	0	0	0
Olfr470	0	0	0	0	0	0
Olfr472	0	0	0	0	0	0
Olfr473	0	0	0	0	0	0
Olfr474	0	0	0	0	0	0
Olfr475-ps1	0	0	0	0	0	0
Olfr476	0	0	0	0	0	0
Olfr477	0	0	0	0	0	0
Olfr478	0	0	0	0	0	0
Olfr479	0	0	0	0	0	0
Olfr48	0	0	0	0	0	0
Olfr480	0	0	0	0	0	0
Olfr481	0	0	0	0	0	0
Olfr482	0	0	0	0	0	0
Olfr483	0	0	0	0	0	0
Olfr484	0	0	0	0	0	0
Olfr485	0	0	0	0	0	0
Olfr486	0	0	0	0	0	0
Olfr487	0	0	0	0	0	0
Olfr488	0	0	0	0	0	0
Olfr49	0	1	1	0	0	0
Olfr490	0	0	0	0	0	0
Olfr491	0	0	0	0	0	0
Olfr492	0	0	0	0	0	0
Olfr493	0	0	0	0	0	0
Olfr494	0	0	0	0	0	0
Olfr495	0	0	0	0	0	0
Olfr497	0	0	0	0	0	0
Olfr498	0	0	0	0	0	0
Olfr5	0	0	0	0	0	0
Olfr50	0	0	0	0	0	0
Olfr502	0	0	0	0	0	0
Olfr503	0	0	0	0	0	0
Olfr504	0	0	0	0	0	0
Olfr506	0	0	0	0	0	0
Olfr507	0	0	0	0	0	0
Olfr508	0	0	0	0	0	0
Olfr509	0	0	0	0	0	0
Olfr51	0	0	0	0	0	0
Olfr510	0	0	0	0	0	0
Olfr512	0	0	0	0	0	0
Olfr513	0	0	0	0	0	0
Olfr514	0	0	0	0	0	0
Olfr516	0	0	0	0	0	0
Olfr517	0	0	0	0	0	0
Olfr518	0	0	0	0	0	0
Olfr519	0	0	0	0	0	0
Olfr52	0	0	0	0	0	0
Olfr520	0	0	0	0	0	0
Olfr521	0	0	0	0	0	0
Olfr522	0	0	0	0	0	0
Olfr523	0	0	0	0	0	0
Olfr524	0	0	0	0	0	0
Olfr525	0	0	0	0	0	0
Olfr527	0	0	0	0	0	0
Olfr53	0	0	0	0	0	0
Olfr530	0	0	0	0	0	0
Olfr531	0	0	0	0	0	0
Olfr532	0	0	0	0	0	0
Olfr533	0	0	0	0	0	0
Olfr535	0	0	0	0	0	0
Olfr536	0	1	1	0	0	0
Olfr538	0	0	0	0	0	0
Olfr539	0	0	0	0	0	0
Olfr54	0	0	0	0	0	0
Olfr541	0	0	0	0	0	0
Olfr543	2	15	9	10	13	1
Olfr544	1	0	0	4	0	0
Olfr545	1	0	0	5	2	0
Olfr547	0	0	0	0	0	0
Olfr548-ps1	0	0	0	0	0	0
Olfr549	0	0	0	0	0	1
Olfr55	0	0	0	0	0	0
Olfr550	0	0	0	2	2	0
Olfr551	0	0	0	0	0	0
Olfr552	0	0	0	0	0	0
Olfr553	0	0	0	0	0	0
Olfr554	0	0	0	0	0	0
Olfr555	0	0	1	0	0	0
Olfr556	0	0	0	0	0	0
Olfr557	0	0	0	0	0	0
Olfr558	0	0	0	0	0	0
Olfr559	0	0	0	0	0	0
Olfr56	0	0	0	0	0	0
Olfr561	0	0	0	0	0	0
Olfr564	0	0	0	0	0	0
Olfr566	0	0	0	0	0	0
Olfr568	0	0	0	0	0	0
Olfr569	0	0	0	0	0	0
Olfr57	1	0	0	0	0	0
Olfr570	0	0	0	0	0	0
Olfr571	0	0	0	0	0	0
Olfr572	0	0	0	0	0	0
Olfr573-ps1	0	0	0	0	0	0
Olfr574	0	0	0	0	0	0
Olfr575	0	0	0	0	0	0
Olfr576	0	0	0	0	0	0
Olfr577	0	0	0	0	0	0
Olfr578	0	0	0	0	0	0
Olfr58	0	0	0	0	0	0
Olfr582	0	0	0	0	0	0
Olfr583	0	0	0	0	0	0
Olfr584	0	0	0	0	0	0
Olfr585	0	0	0	0	0	0
Olfr586	0	0	0	0	0	0
Olfr587-ps1	0	0	0	0	0	0
Olfr588-ps1	0	0	0	0	0	0
Olfr589	0	0	0	0	0	0
Olfr59	0	0	0	0	0	0
Olfr590-ps1	0	0	0	0	0	0
Olfr591	0	0	0	0	0	0
Olfr592	0	0	0	0	0	0
Olfr593	0	0	0	0	0	0
Olfr594	0	0	0	0	0	0
Olfr595-ps1	0	0	0	0	0	0
Olfr596	0	0	0	0	0	0
Olfr597	0	0	0	0	0	0
Olfr598	0	0	0	0	0	0
Olfr599	0	0	0	0	0	0
Olfr6	0	0	0	0	0	0
Olfr60	0	0	0	0	0	0
Olfr600	0	0	0	0	0	0
Olfr601	0	0	0	0	0	0
Olfr602-ps1	0	0	0	0	0	0
Olfr603	0	0	0	0	0	0
Olfr605	0	0	0	0	0	0
Olfr606	0	0	0	0	0	0
Olfr607	0	0	0	0	0	0
Olfr608	0	0	0	0	0	0
Olfr609	0	0	0	0	0	0
Olfr61	0	0	0	0	0	0
Olfr610	0	0	0	0	0	0
Olfr611	0	0	0	0	0	0
Olfr612	0	0	0	0	0	0
Olfr613	0	0	0	0	0	0
Olfr615	0	0	0	0	0	0
Olfr616	0	0	0	0	0	0
Olfr617	0	1	0	0	0	0
Olfr618	1	1	1	3	0	2
Olfr619	0	0	0	0	0	0
Olfr62	0	0	0	0	0	0
Olfr620	0	0	0	0	0	0
Olfr621-ps1	0	0	0	0	0	0
Olfr622	0	0	0	0	0	0
Olfr623	0	0	0	0	0	0
Olfr624	0	0	0	0	0	0
Olfr625-ps1	0	0	0	0	0	0
Olfr626-ps1	0	0	0	0	0	0
Olfr628	0	0	0	0	0	0
Olfr629	0	0	0	0	0	0
Olfr63	0	0	0	0	0	0
Olfr630	0	0	0	0	0	0
Olfr631	0	0	0	0	0	0
Olfr632	0	0	0	0	0	0
Olfr633	0	0	0	0	0	0
Olfr634-ps1	0	0	0	0	0	0
Olfr635	0	0	0	0	0	0
Olfr636-ps1	0	0	0	0	0	0
Olfr637-ps1	0	0	0	0	0	0
Olfr638	0	0	0	0	0	0
Olfr639	0	0	0	0	0	0
Olfr64	0	0	0	0	0	0
Olfr640	0	0	0	0	0	0
Olfr641	0	0	0	0	0	0
Olfr642	0	0	0	0	0	0
Olfr643	0	0	0	0	0	0
Olfr644	0	0	0	0	0	0
Olfr645	0	0	0	0	0	0
Olfr646	0	0	0	0	0	0
Olfr647-ps1	0	0	0	0	0	0
Olfr648	0	0	0	0	0	0
Olfr649	0	0	0	0	0	0
Olfr65	0	0	0	0	0	0
Olfr650-ps1	0	0	0	0	0	0
Olfr651	0	0	0	0	0	0
Olfr652	0	0	0	0	0	0
Olfr653	0	0	0	0	0	0
Olfr654	0	0	0	0	0	0
Olfr655	0	0	0	0	0	0
Olfr656	0	0	0	0	0	0
Olfr657	0	0	0	0	0	0
Olfr658	1	0	0	10	0	2
Olfr659	0	0	0	0	0	0
Olfr66	0	0	0	0	0	0
Olfr660-ps1	0	0	0	0	0	0
Olfr661	0	0	0	0	0	0
Olfr663	0	0	0	0	0	0
Olfr664	0	0	0	0	0	0
Olfr665	0	0	0	0	0	0
Olfr666	0	0	0	0	0	0
Olfr667	0	0	0	0	0	0
Olfr668	0	0	0	0	0	0
Olfr669	0	0	0	0	0	0
Olfr67	0	0	0	0	0	0
Olfr670	0	0	0	0	0	0
Olfr671	0	0	0	0	0	0
Olfr672	0	0	0	0	0	0
Olfr675	0	0	0	0	0	0
Olfr676	0	0	0	0	0	0
Olfr677	0	0	0	0	0	0
Olfr678	0	0	0	0	0	0
Olfr679	0	0	0	0	0	0
Olfr68	0	0	0	0	0	0
Olfr680-ps1	0	0	0	0	0	0
Olfr681	0	0	0	0	0	0
Olfr682-ps1	0	0	0	0	0	0
Olfr683	0	0	0	0	0	0
Olfr684	0	0	0	0	0	0
Olfr685	0	0	0	0	0	0
Olfr686	0	0	0	0	0	0
Olfr687	0	0	0	0	0	0
Olfr688	0	0	0	0	0	0
Olfr689	0	0	0	0	0	0
Olfr69	0	0	0	0	0	0
Olfr690	0	0	0	0	0	1
Olfr691	1	0	0	0	0	1
Olfr692	0	0	0	3	0	2
Olfr693	0	0	0	0	0	0
Olfr694	0	0	0	0	0	0
Olfr695	0	0	0	0	0	0
Olfr697	0	0	0	0	0	0
Olfr698	0	0	0	0	0	0
Olfr699	0	0	0	0	0	0
Olfr70	1	4	0	0	0	1
Olfr700	0	0	0	0	0	0
Olfr701	0	0	0	0	0	0
Olfr702	0	0	0	0	0	0
Olfr703	0	0	0	0	0	0
Olfr704	0	0	0	0	0	0
Olfr705	0	0	0	0	0	0
Olfr706	0	0	0	0	0	0
Olfr707	0	0	0	0	0	0
Olfr709-ps1	0	0	0	0	0	0
Olfr71	0	0	0	0	0	0
Olfr710	0	0	0	0	0	0
Olfr711	0	0	0	0	0	0
Olfr713	0	0	0	0	0	0
Olfr714	0	0	0	0	0	0
Olfr715	0	0	0	0	0	0
Olfr716	0	0	0	0	0	0
Olfr718-ps1	0	0	0	0	0	0
Olfr719-ps	0	0	0	0	0	0
Olfr720	0	0	0	0	0	0
Olfr721-ps1	0	0	0	0	0	0
Olfr722	0	0	0	0	0	0
Olfr723	0	0	0	0	0	0
Olfr724	0	0	0	0	0	0
Olfr725	0	0	0	0	0	1
Olfr726	0	0	0	0	0	1
Olfr727	0	0	0	0	0	0
Olfr728	0	0	0	0	0	0
Olfr729	0	0	0	0	0	0
Olfr73	0	0	0	0	0	0
Olfr730	0	0	0	0	0	0
Olfr731	0	0	0	0	0	0
Olfr732	0	0	0	0	0	0
Olfr733	0	0	0	0	0	0
Olfr734	0	0	0	0	0	0
Olfr735	0	0	0	0	0	0
Olfr736	0	0	0	0	0	0
Olfr738	0	0	0	0	0	0
Olfr739	0	0	0	0	0	0
Olfr74	0	0	0	0	0	0
Olfr740	0	0	0	0	0	0
Olfr741	0	0	0	0	0	0
Olfr742	0	0	0	0	0	0
Olfr743	0	0	0	0	0	0
Olfr744	0	0	0	0	0	0
Olfr745	0	0	0	0	0	0
Olfr746	0	0	0	0	0	0
Olfr747	0	0	0	0	0	0
Olfr748	0	0	0	0	0	0
Olfr749	0	0	0	0	0	0
Olfr75-ps1	0	0	0	0	0	0
Olfr750	0	0	0	0	0	0
Olfr753-ps1	0	0	0	0	0	0
Olfr754-ps1	0	0	0	0	0	0
Olfr755-ps1	0	0	0	0	0	0
Olfr756-ps1	0	0	0	0	0	0
Olfr757-ps1	0	0	0	0	0	0
Olfr758-ps1	0	0	0	0	0	0
Olfr759-ps1	0	0	0	0	0	0
Olfr76	0	0	0	0	0	0
Olfr760-ps1	0	0	0	0	0	0
Olfr761	0	0	0	0	0	0
Olfr762-ps1	0	0	0	0	0	0
Olfr763	0	0	0	0	0	0
Olfr764	0	0	0	0	0	0
Olfr765	0	0	0	0	0	0
Olfr767	0	0	0	0	0	0
Olfr768	0	0	0	0	0	0
Olfr769	0	0	0	0	0	0
Olfr77	0	0	0	0	0	0
Olfr770	0	0	0	0	0	0
Olfr771	0	0	0	0	0	0
Olfr772	0	0	0	0	0	0
Olfr773	0	0	0	0	0	0
Olfr775	0	0	0	0	0	0
Olfr776	0	0	0	0	0	0
Olfr777	0	0	0	0	0	0
Olfr779	0	0	0	0	0	0
Olfr78	0	0	0	0	0	0
Olfr780	0	0	0	0	0	0
Olfr781	0	0	0	0	0	0
Olfr782	0	0	0	0	0	0
Olfr784	0	0	0	0	0	0
Olfr786	0	0	0	0	0	0
Olfr787	0	0	0	0	0	0
Olfr788	0	0	0	0	0	0
Olfr790	0	0	0	0	0	0
Olfr791	0	0	0	0	0	0
Olfr792	0	0	0	0	0	0
Olfr794	0	0	0	0	0	0
Olfr796	0	0	0	0	0	0
Olfr798	0	0	0	0	0	0
Olfr799	0	0	0	0	0	0
Olfr8	0	0	0	0	0	0
Olfr800	0	0	0	0	0	0
Olfr801	0	0	0	0	0	0
Olfr802	0	0	0	0	0	0
Olfr803	0	0	0	0	0	0
Olfr804	0	0	0	0	0	0
Olfr805	0	0	0	0	0	0
Olfr806	0	0	0	0	0	0
Olfr807	0	0	0	0	0	0
Olfr808	0	0	0	0	0	0
Olfr809	0	0	0	0	0	0
Olfr810	0	0	0	0	0	0
Olfr811	0	0	0	0	0	0
Olfr812	0	0	0	0	0	0
Olfr813	0	0	0	0	0	0
Olfr814	0	0	0	0	0	0
Olfr815	0	0	0	0	0	0
Olfr816	0	0	0	0	0	0
Olfr818	0	0	0	0	0	0
Olfr819	0	0	0	0	0	0
Olfr820	0	0	0	0	0	0
Olfr821	0	0	0	0	0	0
Olfr822	0	0	0	0	0	0
Olfr823	0	0	0	0	0	0
Olfr824	0	0	0	0	0	0
Olfr825	0	0	0	0	0	0
Olfr826	0	0	0	0	0	0
Olfr827	0	0	0	0	0	0
Olfr828	0	0	0	0	0	0
Olfr829	0	0	0	0	0	0
Olfr830	0	0	0	0	0	0
Olfr831-ps1	0	0	0	0	0	0
Olfr832	0	0	0	0	0	0
Olfr833-ps1	0	0	0	0	0	0
Olfr834	0	0	0	0	0	0
Olfr835	0	0	0	0	0	0
Olfr836	0	0	0	0	0	0
Olfr837	0	0	0	0	0	0
Olfr843	0	0	0	0	0	0
Olfr844	0	0	0	0	0	0
Olfr845	0	0	0	0	0	0
Olfr846	0	0	0	0	0	0
Olfr847	0	0	0	0	0	0
Olfr849	0	0	0	0	0	0
Olfr850	0	0	0	0	0	0
Olfr851	0	0	0	0	0	0
Olfr853	0	0	0	0	0	0
Olfr854	0	0	0	0	0	0
Olfr855	0	0	0	0	0	0
Olfr857	0	0	1	0	0	0
Olfr859	0	0	0	0	0	0
Olfr860	0	0	0	0	0	0
Olfr862	0	0	0	0	0	0
Olfr866	0	0	0	0	0	0
Olfr867	0	0	0	0	0	0
Olfr868	0	0	0	0	0	0
Olfr869	0	0	0	0	0	0
Olfr870	0	0	0	0	0	0
Olfr871	0	0	0	0	0	0
Olfr872	0	0	0	0	0	0
Olfr873	0	0	0	0	0	0
Olfr874	1	0	0	0	0	0
Olfr875	0	4	0	0	0	0
Olfr876	0	0	0	0	0	0
Olfr877	0	0	0	0	0	0
Olfr878	0	0	0	0	0	0
Olfr881	0	0	0	0	0	0
Olfr883	0	0	0	0	0	0
Olfr884	0	0	0	0	0	0
Olfr885	0	0	0	0	0	0
Olfr887	0	0	0	0	0	0
Olfr888	0	0	0	0	0	0
Olfr889	0	0	0	0	0	0
Olfr890	0	0	0	0	0	0
Olfr891	0	0	0	0	0	0
Olfr892-ps1	0	0	0	0	0	0
Olfr893	0	0	0	0	0	0
Olfr894	0	0	0	0	0	0
Olfr895	0	0	0	0	0	0
Olfr898	0	0	0	0	0	0
Olfr9	0	0	0	0	0	0
Olfr90	1	9	2	5	6	10
Olfr901	0	0	0	0	0	0
Olfr902	0	0	0	0	0	0
Olfr904	0	0	0	0	0	0
Olfr905	0	0	0	0	0	0
Olfr906	0	0	0	0	0	0
Olfr907	0	0	0	0	0	0
Olfr908	0	0	0	0	0	0
Olfr91	0	0	5	0	0	1
Olfr910	0	0	0	0	0	0
Olfr911-ps1	0	0	0	0	0	0
Olfr912	0	0	0	0	0	0
Olfr913	0	0	0	0	0	0
Olfr914	0	0	0	0	0	0
Olfr916	0	0	0	0	0	0
Olfr917	0	0	0	0	0	0
Olfr918	0	0	0	0	0	0
Olfr919	0	0	0	0	0	0
Olfr92	0	0	0	0	0	0
Olfr920	1	0	2	0	0	1
Olfr921	1	0	0	0	0	0
Olfr922	0	0	0	0	0	0
Olfr923	0	0	0	0	0	0
Olfr924	0	0	0	0	0	0
Olfr926	0	0	0	0	0	0
Olfr93	0	0	0	0	0	0
Olfr930	0	0	0	0	0	0
Olfr933	0	0	0	0	0	0
Olfr934	0	0	0	0	0	0
Olfr935	0	0	0	0	0	0
Olfr937	0	0	0	0	0	0
Olfr938	0	0	0	0	0	0
Olfr94	0	0	0	0	0	0
Olfr943	0	0	0	0	0	0
Olfr944	0	0	0	0	0	0
Olfr945	0	0	0	0	0	0
Olfr948	0	0	0	0	0	0
Olfr95	0	0	0	0	0	0
Olfr951	0	0	0	0	0	0
Olfr952	0	0	0	0	0	0
Olfr954	0	0	0	0	0	0
Olfr955	0	0	0	0	0	0
Olfr957	0	0	0	0	0	0
Olfr958	0	0	0	0	0	0
Olfr959	0	0	0	0	0	0
Olfr96	0	0	0	0	0	0
Olfr960	0	0	0	0	0	0
Olfr961	0	0	0	0	0	0
Olfr963	0	0	0	0	0	0
Olfr964-ps1	0	0	0	0	0	0
Olfr965	0	0	0	0	0	0
Olfr967	0	0	0	0	0	0
Olfr968	0	0	0	0	0	0
Olfr969	0	0	0	0	0	0
Olfr97	0	0	0	0	0	0
Olfr970	0	0	0	0	0	0
Olfr971	0	0	0	0	0	0
Olfr972	0	0	0	0	0	0
Olfr974	0	0	0	0	0	0
Olfr975	0	0	0	0	0	0
Olfr976	0	0	0	0	0	0
Olfr978	0	0	0	0	0	0
Olfr979	0	0	0	0	0	0
Olfr98	0	0	0	0	0	0
Olfr980	0	0	0	0	0	0
Olfr981	0	0	0	0	0	0
Olfr982	0	0	0	0	0	0
Olfr983	0	0	0	0	0	0
Olfr984	0	0	0	0	0	0
Olfr985	1	0	0	0	0	0
